"filename", "language", "JSON", "JavaScript", "Handlebars", "comment", "blank", "total"
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\adapters\godaddyAdapter.js", "JavaScript", 0, 509, 0, 117, 109, 735
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\app.js", "JavaScript", 0, 48, 0, 11, 16, 75
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\config\config.js", "JavaScript", 0, 31, 0, 0, 3, 34
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\config\multerConfig.js", "JavaScript", 0, 32, 0, 9, 6, 47
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\config\passport.js", "JavaScript", 0, 126, 0, 16, 21, 163
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\config\rolesPermissionsConfig.js", "JavaScript", 0, 55, 0, 0, 0, 55
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\controllers\accountController.js", "JavaScript", 0, 94, 0, 8, 14, 116
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\controllers\authController.js", "JavaScript", 0, 816, 0, 63, 151, 1030
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\controllers\certificadoController.js", "JavaScript", 0, 408, 0, 79, 60, 547
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\controllers\dominioController.js", "JavaScript", 0, 594, 0, 82, 95, 771
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\controllers\permisoController.js", "JavaScript", 0, 127, 0, 16, 27, 170
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\controllers\roleController.js", "JavaScript", 0, 176, 0, 7, 39, 222
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\controllers\servicioController.js", "JavaScript", 0, 121, 0, 15, 26, 162
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\controllers\userBillingController.js", "JavaScript", 0, 80, 0, 18, 13, 111
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\controllers\userCompositeController.js", "JavaScript", 0, 315, 0, 56, 38, 409
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\controllers\userContactController.js", "JavaScript", 0, 156, 0, 22, 26, 204
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\controllers\userController.js", "JavaScript", 0, 408, 0, 49, 72, 529
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\docs\authDocs.js", "JavaScript", 0, 0, 0, 285, 6, 291
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\docs\baseDocs.js", "JavaScript", 0, 0, 0, 22, 3, 25
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\docs\certificadoDocs.js", "JavaScript", 0, 0, 0, 696, 14, 710
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\docs\dominioDocs.js", "JavaScript", 0, 0, 0, 527, 9, 536
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\docs\permisoDocs.js", "JavaScript", 0, 0, 0, 153, 2, 155
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\docs\roleDocs.js", "JavaScript", 0, 0, 0, 144, 7, 151
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\docs\schemas.js", "JavaScript", 0, 0, 0, 509, 1, 510
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\docs\serviceDocs.js", "JavaScript", 0, 0, 0, 174, 1, 175
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\docs\swagger.js", "JavaScript", 0, 31, 0, 1, 3, 35
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\docs\userDocs.js", "JavaScript", 0, 0, 0, 144, 7, 151
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\factories\godaddyServiceFactory.js", "JavaScript", 0, 5, 0, 1, 4, 10
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\index.js", "JavaScript", 0, 17, 0, 8, 7, 32
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\middlewares\authMiddleware.js", "JavaScript", 0, 51, 0, 6, 8, 65
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\middlewares\errorHandler.js", "JavaScript", 0, 50, 0, 8, 6, 64
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\middlewares\validators\authValidator.js", "JavaScript", 0, 172, 0, 15, 21, 208
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\middlewares\validators\inviteAcceptanceValidator.js", "JavaScript", 0, 25, 0, 2, 2, 29
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\middlewares\validators\permisoValidator.js", "JavaScript", 0, 29, 0, 1, 5, 35
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\middlewares\validators\roleValidator.js", "JavaScript", 0, 30, 0, 1, 4, 35
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\middlewares\validators\serviceValidator.js", "JavaScript", 0, 88, 0, 25, 14, 127
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\middlewares\validators\userValidator.js", "JavaScript", 0, 151, 0, 29, 20, 200
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241104165831-create-estado.cjs", "JavaScript", 0, 30, 0, 1, 0, 31
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241104165839-create-rol.cjs", "JavaScript", 0, 30, 0, 1, 0, 31
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241104165853-create-autenticacion.cjs", "JavaScript", 0, 30, 0, 1, 0, 31
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241104165902-create-permiso.cjs", "JavaScript", 0, 34, 0, 0, 0, 34
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241104165914-create-rol-permiso.cjs", "JavaScript", 0, 48, 0, 2, 1, 51
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241104165932-create-accion.cjs", "JavaScript", 0, 41, 0, 2, 1, 44
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241104165943-create-usuario.cjs", "JavaScript", 0, 88, 0, 2, 1, 91
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241126183609-add-auth-fields-to-usuario.cjs", "JavaScript", 0, 27, 0, 1, 7, 35
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241126191711-rename-contraseña-to-password-in-usuario.cjs", "JavaScript", 0, 9, 0, 1, 3, 13
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241202201222-add-emailTokenExpires-to-usuarios.cjs", "JavaScript", 0, 12, 0, 1, 3, 16
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241202201223-add-avatar-twoFactorEnabled-to-Usuario.cjs", "JavaScript", 0, 18, 0, 0, 4, 22
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241210170913-add-two-factor-secret-to-usuario.cjs", "JavaScript", 0, 12, 0, 1, 4, 17
